symbol,close_price,ema_20,ema_50,ema_200,key_resistance,date,rvol,rvol_flag,perc_change_3m
TECHNOE-EQ,1575.0,1524.21,1397.44,1335.39,1566.9,2025-07-04,0.5,0,54.21
SYRMA-EQ,608.0,556.7,532.89,504.33,576.0,2025-07-04,0.36,0,29.55
SRF-EQ,3232.9,3128.42,3041.34,2777.4,3169.0,2025-07-04,0.35,0,11.48
REDINGTON-EQ,312.45,303.07,283.09,239.5,306.99,2025-07-04,0.34,0,36.44
RBLBANK-EQ,254.0,236.23,218.94,195.44,231.3,2025-07-04,0.37,0,44.89
RAMCOCEM-EQ,1092.0,1050.53,1012.6,940.74,1081.9,2025-07-04,1.3,1,15.74
RAINBOW-EQ,1602.9,1493.41,1443.36,1412.02,1445.0,2025-07-04,1.4,1,15.32
POONAWALLA-EQ,470.0,440.91,413.4,374.94,433.65,2025-07-04,2.5,1,29.1
PIIND-EQ,4216.8,4092.71,3916.57,3901.52,3738.8,2025-07-04,0.75,0,22.22
PAGEIND-EQ,48670.0,47251.36,46377.57,45020.88,47485.0,2025-07-04,1.72,1,12.32
NH-EQ,2010.0,1974.73,1862.97,1589.87,1869.7,2025-07-04,0.31,0,21.44
NAVINFLUOR-EQ,4940.0,4708.55,4523.7,4030.01,4740.0,2025-07-04,0.25,0,17.92
MUTHOOTFIN-EQ,2670.0,2559.03,2421.51,2219.55,2669.9,2025-07-04,0.39,0,12.65
MOTILALOFS-EQ,917.0,855.79,804.02,768.06,898.15,2025-07-04,0.58,0,47.43
MCX-EQ,8865.0,8307.35,7414.49,6289.75,6417.0,2025-07-04,0.54,0,66.04
MAXHEALTH-EQ,1298.0,1238.3,1189.62,1092.32,1204.0,2025-07-04,0.29,0,16.11
MARICO-EQ,728.0,710.83,702.72,678.01,727.9,2025-07-04,2.56,1,10.3
MAHSEAMLES-EQ,747.3,722.27,701.26,677.3,735.9,2025-07-04,0.6,0,3.36
LTFOODS-EQ,487.2,459.75,429.85,403.43,484.0,2025-07-04,0.34,0,32.57
LTF-EQ,206.1,197.25,184.44,166.64,197.05,2025-07-04,1.7,1,33.66
LLOYDSME-EQ,1555.0,1513.74,1428.14,1212.07,1345.8,2025-07-04,0.52,0,17.8
LAURUSLABS-EQ,777.5,697.18,656.6,591.48,682.55,2025-07-04,0.84,0,25.52
KIRLOSBROS-EQ,2316.0,2065.26,1927.04,1838.27,1933.5,2025-07-04,0.89,0,33.88
KIMS-EQ,685.0,665.22,654.03,612.34,684.85,2025-07-04,2.65,1,12.59
KARURVYSYA-EQ,270.5,253.57,239.44,224.87,253.43,2025-07-04,0.54,0,25.67
JUBLPHARMA-EQ,1198.0,1157.0,1088.93,1054.83,1190.0,2025-07-04,0.52,0,23.51
JUBLFOOD-EQ,710.4,698.13,689.48,678.71,701.3,2025-07-04,0.42,0,2.51
JMFINANCIL-EQ,165.7,150.89,135.32,123.19,155.99,2025-07-04,0.68,0,66.15
JKCEMENT-EQ,6239.5,5989.79,5647.95,5037.97,6140.5,2025-07-04,0.2,0,24.82
J&KBANK-EQ,114.1,109.39,105.1,101.38,113.4,2025-07-04,0.35,0,15.84
INOXINDIA-EQ,1258.0,1218.0,1165.0,1107.64,1254.0,2025-07-04,0.43,0,23.52
